0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:30:41 -0300] "POST /BodyVIP/salvaCadastroTurma.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:30:41 -0300] "GET /BodyVIP/erroCadastro.jsp HTTP/1.1" 200 1865
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:32:23 -0300] "GET /BodyVIP/erroCadastro.jsp HTTP/1.1" 200 1951
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:32:23 -0300] "GET /BodyVIP/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:32:23 -0300] "GET /BodyVIP/imagens/pattern.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:32:25 -0300] "GET /BodyVIP/TurmaController?acao=cadastro HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:33:02 -0300] "GET /BodyVIP/TurmaController?acao=cadastro HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:34:14 -0300] "GET /BodyVIP/erroCadastro.jsp HTTP/1.1" 200 1928
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:34:14 -0300] "GET /BodyVIP/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:34:14 -0300] "GET /BodyVIP/imagens/pattern.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:34:21 -0300] "GET /BodyVIP/home.jsp HTTP/1.1" 200 2764
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:34:41 -0300] "GET /BodyVIP/erroCadastro.jsp HTTP/1.1" 200 1928
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:34:41 -0300] "GET /BodyVIP/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:34:41 -0300] "GET /BodyVIP/imagens/pattern.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:34:45 -0300] "GET /BodyVIP/home.jsp HTTP/1.1" 200 2764
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:35:09 -0300] "GET /BodyVIP/TurmaController?acao=cadastro HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:38:07 -0300] "GET /BodyVIP/ProfessorController?acao=buscaLista HTTP/1.1" 200 2294
